Question ID,Book,Subject,Class,Board/Program,Chapter Number,Chapter Name,Question Type,Difficulty,Question,Answer
53910,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,Diagram Based,Moderate,"The focal length of a concave mirror is 3 0 c m. Find the position of the object in front of the mirror, so that the image is three times the size of the object.","Here image can be real or virtual. If the image is real
f= ? 30 c m, u=?, m= ? 3
m= (f)/(f ? u) ? ? 3= (? 30)/(? 30 ? u) ? u= ? 40 c m.
If the image is virtual m= (f)/(f ? u) ? 3= (? 30)/(? 30 ? u) ? u= ? 20 c m.
## REFRACTION OF LIGHT
The bending of the light ray from its path in passing from one medium to the other medium is called refraction of light.
If the refracted ray bends towards the normal relative to the incident ray (passing obliquely), then the second medium is said to be denser than the first medium. But if the refracted ray bends away from the normal, then the second medium is said to be rarer than the first medium.
Fig. 1.43 (a)
Fig. 1.43 (b)
If a ray of light passing normally i.e., at right angles from one medium to another optical medium then it does not bend or deviate from its path.
Cause of refraction of light: Refraction of light takes place due to change in the speed of light as it enters from one medium to another medium.
Refraction causes many illusions. One of them is the apparent bending of a stick that is partially submerged in water. The submerged part appears closer to the surface than it actually is. The same is true when you look at a fish in water. The fish appears nearer to the surface and closer than it really is (Fig. 1.44). If we look straight down into water, an object submerged 4 meters beneath the surface appears to be only 3 meters deep. Because of refraction, submerged objects appear to be magnified.
Fig.1.44 Because of refraction, a submerged object appears to be nearer to the surface than it actually is
## Atmospheric Refraction
Refraction occurs in the earth's atmosphere. Whenever we watch a sunset, we see the sun for several minutes after it has sunk below the horizon (Fig. 1.45). The earth's atmosphere is thin at the top and dense at the bottom. Because light travels faster in thin air than in dense air, parts of the wavefronts of sunlight at high altitude travel faster than parts closer to the ground. Light rays bend. The density of the atmosphere changes gradually, so light rays bend gradually and follow a curved path. So we gain additional minutes of daylight each day. Furthermore, when the sun (or moon) is near the horizon, the rays from the lower edge are bent more than the rays from the upper edge. This shortens the vertical diameter, causing the sun to appear elliptical figure).
Fig. 1.45. Because of atmospheric refraction, when the sun is near the horizon it appears to be higher in the sky.
If, while standing on the bank of a stream, you wished to spear a fish swimming in the water out in front of you, would you aim above, below, or directly at the observed fish to make a direct hit? If you decided instead to zap the fish with a laser, would you aim above, below, or directly at the observed fish? Defend your answer.
When you try to hit the fish with a spear, you need to aim below as the fish is actually at a lower depth than that observed by you from outside the water due to refraction of light.
When you aim with a laser light then you should aim above as the path of laser will change as it enters in water. Since it is going from rarer to denser medium, it bends towards the normal and deviates from the original path.
## Laws of Refraction
There is two laws of refraction
1. The incident ray, the refracted ray, and the normal to the refracting surface at the point of incidence are in the same plane.
2. The ratio of sine of angle of incidence to the sine of angle of refraction is constant for a pair of media i.e. (sin i)/(sin r) = constant (1 ?2)
Where ?2 is the refractive index of medium 2 w.r.t. medium 1. This law is also known as snell's law.
## Application of Snell's Law
When light passes from rarer to denser medium it bends toward the normal fig 1.46 (a).
Using Snell's law
?1 sin ?1= ?2 sin ?2 ? (sin ?1)/(sin ?2) = ?2/?1
Thus, if ?2> ?1 then ?2< ?1
When light passes from denser to rarer medium it bends away from the normal fig 1.46(b).
From Snell's law, (sin ?1)/(sin ?2) = ?2/?1
Fig. 1.46 (a) Ray bending towards normal.
Fig. 1.46 (b) Ray bending away from normal.
When light propagates through a series of layers of different medium, then according to Snell's law
?1 sin ?1= ?2 sin ?2= ?3 sin ?3= _ _ _ _ = constant
Did You Know?
If 1 ?2, 2 ?3 and 3 ?1 be refractive index of medium 2 w.r.t. medium 1, refractive index of medium 3 w.r.t medium 2 and refractive index of medium 1 w.r.t. medium 3 respectively then 1 ?2 × 2 ?3 × 3 ?1= 1.
## REFRACTIVE INDEX
Light travels through a vacuum at a speed c= 3.00 × 10? m / s. It can also travel through many materials, such as air, water and glass. Atoms in the material absorb, re-emit and scatter the light, however. Therefore, light travels through the material at a speed that is less than c , the actual speed depending on the nature of the material.
To describe the extent to which the speed of light in a material medium differs from that in a vacuum, we use a parameter called the index of refraction (or refractive index).
## Absolute Refractive Index
It is defined as the ratio of speed of light in free space c to that in a given medium v.
i.e. ? or n= c/v
Also, ? or n= (sin i)/(sin r) (incident ray in vacuum or air)
It is a scalar and has no units and dimensions.
As in vacuum or free space, speed of light of all wavelengths is maximum and equal to c , so, for all wavelengths the refractive index of free space is minimum and is ?= c/v= c/c= 1
For a given light, denser is the medium, lesser will be the speed of light and so greater will be the refractive index, e.g. as vglass< vwater, ?G> ?w
i.e. for a given light refractive index depends on nature of medium [i.e., ? ? (1 / v)
For a given medium (other than free-space), the speed of light of different wavelengths is different, i.e., v ? ? and ?= (c / v), ? ? 1/? i.e. greater the wavelength of light lesser will be the refractive index e.g. ?R> ?B, so in water or glass ?R> ?B, i.e., for a given medium (other than free space) refractive index depends on wavelength of light.
As for light in free space c= f ?0 vand in a medium v= f ?,
?= c/v= ?0/?
i.e., for a given light and medium refractive index is equal to the ratio of wavelength of light in free space to that in the medium. Refractive index decreases with the increase in temperature.
## Relative Refractive Index
When light passes from one medium to the other, the refractive index of medium 2 relative to 1 is written as 1 ?2 and is defined as 1 ?2= ?2/?1= ((c / v2))/((c / v1)) = v1/v2
While using the concept of relative ?, it must be kept in mind that :
2 ?1= ?1/?2= v2/v1 So that, (1 ?2) (2 ?1) = v1/v2 × v2/v1= 1 i.e., 1 ?2= (1)/(2 ?1)
Usually ' ? ' is used for relative refractive index and it implies the refractive index of denser medium relative to rarer one,
i.e., ?= ?D/?R= vR/vD> 1
In lens theory ? is used for the refractive index of material of lens relative to the medium,
i.e., ?= ((?)Lens)/((?)Medium) and can be greater than, less than or equal to unity.
If you place a glass test tube in water, you will be able to see the tube. If you place it in clear soyabean oil, you may not be able to see it. What does this tell you about the speed of light in the oil and in the glass?
If a glass test tube is placed in water and it can be seen, this indicates the speed of light in glass and water is different. So refraction takes place.
When the same glass tube is placed in soyabean oil, it cannot be seen that means the speed of light is same in both oil and glass. So no refraction takes place between the two media."
53911,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,Numerical,Moderate,Light waves of 5895 \AA wavelength travels from vacuum to a medium of refractive index of 1.5 . Find the velocity of light and wavelength in medium.,"If velocity of light in vacuum is c then velocity of light in medium is v= c/n= (3 × 10?)/(1.5) = 2 × 10? m / s e c
Wavelength of light in medium ?m= ?/n= 5895/1.5= 3930 \AA.
## ILLUSTRATIOM : 1.16
The refractive index of water is 4 / 3 and of glass is 3 / 2. Calculate the refractive index of glass with respect to water.
Let the 3 media be 1,2 and 3,1 for air, 2 for water, 3 for glass in that order.
Given : 1 ?2= 4/3, 2 ?3=?, 3 ?1= (1)/(3 / 2), [? 1 ?3= 3/2 and ? 3 ?1 is the reciprocal of 1 ?3]
Now using the formula, 1 ?2 · 2 ?3 · 3 ?1= 1 and substituting values, we have
4/3 · 2 ?3 · 2/3= 1 ? 2 ?3= (1 × 3 × 3)/(4 × 2) = 9/8
? The refractive index of glass with respect to water is 9 / 8"
53912,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A material has a refractive index of 1.33. What is the velocity of light in that material?
(a) 2.25 × 10? m s?¹
(b) 4.69 × 10? m s?¹
(c) 8.78 × 10? m s?¹
(d) 1.33 × 10? m s?¹","(a) 2.25 × 10? m s?¹
Explanation: The correct option is 2.25 × 10? m s?¹."
53913,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Light reflected from a fish strikes the surface of water at an angle of 38° to the normal. What is the angle of refraction of light when it enters air?
(a) 40°
(b) 55°
(c) 60°
(d) 70°","(c) 60°
Explanation: The correct option follows from Snell's law: sin ?1 = sin ?2. Given sin ?1 = sin 38°, the angle of refraction in air is ?2 = sin-1(1.33) × sin 38° ? 55°."
53914,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A light ray strikes an interface between two materials of refractive indices n1 and n2, at an angle ?1 to the normal. Show that a ray is bent towards the normal if _______.
(a) n1 < n2
(b) n1 > n2
(c) ?1 < 90°
(d) sin ?1 > sin ?2","(a) n1 < n2
Explanation: The light ray bends towards the normal when the refractive index of the second material (n2) is greater than that of the first material (n1). This means n1 < n2."
53915,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Find the incident angle i for which refractive and reflective waves are mutually perpendicular.
(a) i = tan?¹(?)
(b) r = 90° - i
(c) ? = (sin i)/(cos i)
(d) i + r = 180°","(a) i = tan?¹(?)
Explanation: The correct option is 'i = tan?¹(?)' because it directly applies Snell's law and the condition for perpendicular waves."
53916,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Figure 1.49 shows a ray of light passing through a glass slab. By geometric construction, calculate the refractive index of glass using Snell's law.
(a) 0.8
(b) 1.2
(c) 1.5
(d) 2.4","(d) 2.4
Explanation: The correct option is (D) 2.4 because the refractive index ? = (sin i)/(sin r) = (A C)/(B D) = (1.2 cm)/(0.8 cm) × (1 m/100 cm) = 1.5 × (1 m/0.8 m) = 1.5 × 1.25 = 2.4."
53917,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"An object is placed between two converging lenses with focal lengths of 15 cm and 25 cm, respectively. The distance between the lenses is 18 cm. Where does the final image form?
(a) 35 cm
(b) 43 cm
(c) 70 cm
(d) 95 cm","(b) 43 cm
Explanation: The first lens forms an inverted virtual image at a distance of 17 cm from it, which acts as the object for the second lens. The final image is formed by this virtual image located 35 cm to the right of the second lens."
53918,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"An object placed at a distance of 1.50 m from a screen and a convex lens produces an image magnified 4 times on the screen. What is the focal length of the lens?
(a) 0.24 m
(b) 1.20 m
(c) 3.60 m
(d) 6.00 m","(a) 0.24 m
Explanation: The correct option is 0.24 m as derived from the given equation and calculations."
53919,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"The radius of curvature of a thin plano-convex lens is 1 0 c m (of curved surface) and the refractive index is 1.5 . If the plane surface is silvered, then it behaves like a concave mirror of focal length
(a) 1 0 c m (b)
15 cm
(c) 20 c m
(d) 5 cm","(a) The silvered plano convex lens behaves as a concave mirror; whose focal length is given by
1/F= 2/f1 + 1/fm
If plane surface is silvered
& fm= R2/2= (?)/(2) = ? & ? 1/f1= (? ? 1) (1/R1 ? 1/R2) = (? ? 1) (1/R ? (1)/(?)) = (? ? 1)/(R) & ? 1/F= (2 (? ? 1))/(R) + (1)/(?) = (2 (? ? 1))/(R) ? F= (R)/(2 (? ? 1))
Fig. 1.70
Here, R= 10 c m, ?= 1.5
? F= (10)/(2 (1.5 ? 1)) = 10 c m
## POWER OF A LENS
If focal length of a lens is measured in metre then its reciprocal gives the power (P) of the lens.
i.e., Power of a lens, P= (1)/(f (in m))
The S.I. unit of power is diopter (D).
Power of a combination of lenses: If a number of lenses are placed in close contact with each other, then the power of the combination of lenses is equal to the algebraic sum of the powers of individual lenses. i.e. P= P1 + P2 + …. Pn
## ILLUSTRATIOM : 1.26
A doctor has prescribed a corrective lens of power +1.5 D . Find the focal length of the lens. Is the prescribed lens diverging or converging?
Given: P= + 1.5 D
Focal length f= 100/P c m= 100/1.5= 1000/15= + 66.67 c m= + 0.67 m
As the focal length is + v e, hence it is a converging or convex lens."
53920,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A convex lens of focal length 40 cm is in compact with a concave lens of focal length -25 cm. Find the power of the combination of lenses.
(a) -1.50
(b) 1.50
(c) -3.00
(d) 3.00","(a) -1.50
Explanation: The correct option is -1.50, as calculated from the given focal lengths."
53921,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,A convex lens of focal length 20 cm is placed in contact with concave lens of focal length 60 cm . Calculate : (a) power of each of the lens (b) power of combination (c) focal length of combination (d) nature of combination.,"As we know, power of a lens P= (1)/(f (in metre))
(a) Power of convex lens = 100/20= + 5 D, Power of concave lens = (100)/(? 60) = ? 1.67 D
(b) Power of combination P= P1 + P2= (+ 5 D) + (? 1.67 D) = + 3.33 D
(c) Focal length of combination
f (in c m) = 100/P= 100/3.33= + 30.0 c m
(d) As power of combination is positive, therefore, combination behaves like a convex lens."
53922,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A convex lens of focal length 10.0 cm is placed in contact with a convex lens of 15.0 cm focal length. What is the combined focal length?
(a) 2 c m
(b) 3 c m
(c) 4 c m
(d) 6 c m","(d) 6 c m
Explanation: The correct option is '6 c m' because for combination of lenses, the formula f = (1/f1 + 1/f2)?¹. Substituting the given focal lengths: f = (1/10 + 1/15)?¹ = 6 cm."
53923,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"What is the power of the combined lens when ten identical converging thin lenses, each with a focal length of 1 cm, are in contact?
(a) 0 D
(b) 50 D
(c) 100 D
(d) 200 D","(d) 200 D
Explanation: The power of the combined lens is the sum of the powers of each individual lens. Since there are ten lenses, and each has a power of 1 diopter (D), the total power is 10 × 1 = 10 D."
53924,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Explain why a person in a dark room looking through a window can clearly see a person outside in daylight, whereas the person outside cannot see the person inside.
(a) The reflected rays from the person inside are weak and not visible.
(b) The person inside has no light source to reflect.
(c) There is no reflection of the person's body inside the dark room.
(d) The person inside does not emit any visible light.","(a) The reflected rays from the person inside are weak and not visible.
Explanation: The correct option explains that enough reflected rays come from the person outside into the eye of the observer, allowing them to be seen clearly. The other options are incorrect because they either mention weak or non-existent reflection, or imply a complete lack of light emission."
53925,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"What type of lens is used in the diagram?
(a) Concave
(b) Convex
(c) Spherical
(d) Cylindrical","(b) Convex
Explanation: The image formed by a convex lens is magnified and inverted, which matches the description given in the model answer."
53926,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,Short Answer,Easy,Define the principal focus of a concave mirror.,The point on principal axis where beam of rays parallel to principal axis meet after reflection from the mirror is called principal focus.
53927,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"What is the focal length of a spherical mirror with a radius of curvature of 20 cm?
(a) 5 cm
(b) 10 cm
(c) 20 cm
(d) 40 cm","(c) 20 cm
Explanation: The focal length (f) of a spherical mirror is half of its radius of curvature (R). Therefore, f = R / 2 = 20 cm / 2 = 10 cm."
53928,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Which type of mirror can give an erect and enlarged image of an object?
(a) Plane mirror
(b) Convex mirror
(c) Concave mirror
(d) Cylinder mirror","(c) Concave mirror
Explanation: A concave mirror can produce an erect and enlarged image of an object."
53929,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"What makes us prefer convex mirrors as a rear-view mirror in vehicles?
(a) Large aperture
(b) Always forms virtual, erect and small image of distant objects
(c) Both A and B
(d) Neither A nor B","(c) Both A and B
Explanation: The preference for convex mirrors is due to their large aperture (option A) that allows a wide field of view, and they always form virtual, erect, and small images of distant objects (option B), which makes them suitable as rear-view mirrors."
53930,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"What is the focal length of a convex mirror with a radius of curvature of 32 cm?
(a) + 8 cm
(b) + 16 cm
(c) - 16 cm
(d) + 40 cm","(c) - 16 cm
Explanation: The correct focal length for a convex mirror is half the radius of curvature."
53931,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A concave mirror produces three times magnified real image of an object placed at 10 cm in front of it. Where is the image located?
(a) 20 cm
(b) 30 cm
(c) 40 cm
(d) 50 cm","(a) 20 cm
Explanation: The equation derived from the given magnification and object distance is v = 3u, where u = 10 cm. Therefore, the image distance (v) is 3 times the object distance (u), resulting in a final image distance of 30 cm."
53932,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A ray of light travelling in air enters obliquely into water. Does the light ray bend towards the normal or away from the normal? Why?
(a) towards the normal
(b) away from the normal
(c) depends on angle
(d) none","(a) towards the normal
Explanation: The correct option is 'towards the normal' because as the light ray enters a denser medium (water), its speed decreases, causing it to bend towards the normal."
53933,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"What is the speed of light in glass with a refractive index of 1.50?
(a) 2 × 10? m / s e c
(b) 3 × 10? m / s e c
(c) 4 × 10? m / s e c
(d) 6 × 10? m / s e c","(a) 2 × 10? m / s e c
Explanation: The correct option is calculated by the formula v = c / ?g, where c is the speed of light in vacuum and ?g is the refractive index. Substituting the given values gives v = (3 × 10?) / 1.5 = 2 × 10? m/s."
53934,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"In which substance does light travel fastest?
(a) Water
(b) Kerosene
(c) Turpentine
(d) Air","(a) Water
Explanation: The model answer states that light travels fastest in water because its refractive index is least compared to kerosene and turpenes. Therefore, the correct substance for light travel fastest among the given options is water."
53935,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"What is the power of a lens with a focal length of one metre?
(a) 0 dioptres
(b) 1 dioptre
(c) 2 dioptres
(d) 3 dioptres","(b) 1 dioptre
Explanation: A lens with a focal length of one metre has a power of one dioptre."
53936,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A convex lens forms a real and inverted image of a needle at a distance of 50 cm from it. Where is the needle placed in front of the convex lens if the image is equal to the size of the object? Also, find the power of the lens.
(a) u= + 25 c m
(b) v= ? 50 c m
(c) m= + 1
(d) P= 4 dioptre","(d) P= 4 dioptre
Explanation: The correct answer is P= 4 dioptre."
53937,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"Find the power of a concave lens with a focal length of 2 meters.
(a) 1 diopter
(b) ?1 diopter
(c) 0.5 diopter
(d) ?0.5 diopter","(d) ?0.5 diopter
Explanation: The power of a concave lens is given by the reciprocal of its focal length, with negative sign indicating that it is a concave lens."
53938,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"Which one of the following materials cannot be used to make a lens?
(a) Water
(b) Glass
(c) Plastic
(d) Clay",(a)
53939,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"The image formed by a concave mirror is observed to be virtual, erect and larger than the object. Where should be the position of the object?
(a) Between the principal focus and the centre of curvature
(b) At the centre of curvature
(c) Beyond the centre of curvature
(d) Between the pole of the mirror and its principal focus.",(b)
53940,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Where should an object be placed in front of a convex lens to get a real image of the size of the object?
(a) At the principal focus of the lens
(b) At twice the focal length
(c) At infinity
(d) Between the optical centre of the lens and its principal focus",(a)
53941,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"A spherical mirror and a thin spherical lens have each a focal length of -15 cm . The mirror and the lens are likely to be-
(a) both concave
(b) both convex
(c) the mirror is concave and the lens is convex
(d) the mirror is convex but the lens is concave.",(a)
53942,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"No matter how far you stand from a mirror, your image appears erect. The mirror is likely to be
(a) plane
(b) concave
(c) convex
(d) either planer or convex",(a)
53943,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Which of the following lenses would you prefer to use while reading small letters found in a dictionary?
(a) A convex lens of focal length 50 cm
(b) A concave lens of focal length 50 cm .
(c) A convex lens of focal length 5 cm
(d) A concave lens of focal length 5 cm","(d) iB> iA or sin?¹ (1/?B) > sin?¹ (1/?A) or ?A> ?B
Hence medium A is denser and B is rarer.
Total internal Reflection : When the object is placed in a optically denser medium and if the incident angle is greater than the critical angle then the ray of light gets reflected back to the originating medium. For critical angle ( ? ) from medium A to B, B ?A
& B ?A= (1)/(sin ?) or sin ?= (1)/(B ?A) = ?B/?A & ? sin ?= (1)/(sin iB) × (sin iA)/(1) & ? ?= sin?¹ [(sin iA)/(sin iB)]"
53944,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"What is the correct range of distance for an erect image formed by a concave mirror of focal length 15 cm? What type of image is formed?
(a) Less than 15 cm
(b) More than 15 cm but less than 30 cm
(c) Between 15 cm and 30 cm
(d) Greater than 30 cm","(c) Between 15 cm and 30 cm
Explanation: The correct range is between 15 cm and 30 cm. The image formed by a concave mirror is always erect."
53945,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"Name the type of mirror used in the following situations.
(a) Headlights of a car.
(b) Side/rear-view mirror of a vehicle.
(c) Solar furnace.
(d) Support your answer with reason.","(a) The critical angle for total internal reflection from glass to water,
& sin ic= (?w a t e r)/(?g l a s s) = 1.33/1.50= 8/9. & ic= sin?¹ (8/9)"
53946,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Moderate,"An object is placed 25 cm in front of a converging lens with a focal length of 10 cm. What is the position and nature of the image formed?
(a) 20 cm, inverted
(b) 10 cm, upright
(c) 15 cm, reduced size
(d) 30 cm, magnified","(b) 10 cm, upright
Explanation: The object is placed at the focal point of the lens (25 cm), forming a real, inverted image on the other side. The correct answer is (b)."
53947,10 PHYSICS FOUNDATION,Physics,Class 10,Foundation,1,Light-Reflection and Refraction,MCQ,Easy,"A concave lens forms an image 10 cm from the lens. How far is the object placed?
(a) 30 cm
(b) 45 cm
(c) 60 cm
(d) 90 cm","(c) 60 cm
Explanation: The correct distance for the object placement is 60 cm, as explained in the model answer. The image forms at 10 cm from the lens due to the principle of reversibility."
